Название товара;Артикул Ozon;Артикул продавца;Ссылка на товар;Бренд;Категория 1 уровня;Категория 3 уровня;Super-товар;Заказано на сумму, ₽;Динамика суммы заказов, %;Заказано товаров;Самая низкая цена, ₽;Средняя цена покупки, ₽;Упущенные продажи, ₽;Дней без остатка, дни;Среднесуточные продажи, ₽;Среднесуточные продажи, штуки;Схема работы;Среднее время доставки;Объем товара, л;Доля затрат на Ozon, FBO, %;Доля затрат на Ozon, FBS, %;Показы в поиске и каталоге;Посещения карточки товара;В корзину из поиска и каталога, %;В корзину из карточки, %;Доля рекламных расходов, %;Доля выкупа, %;Дата создания карточки товара
—;—;—;—;—;—;—;Приносят больше выручки и чаще продаются. А ещё за их поставки можно получить бонусы и скидки. Узнайте, какие Super-товары продают на Ozon сейчас;Общая стоимость заказанных товаров, включая отмены и возвраты. Для расчёта берём цену, которую заплатил покупатель, с учётом скидок продавца и покупателя;Как изменилась суммарная стоимость заказов в сравнении с предыдущим периодом;Общее количество заказанных товаров;Самая низкая цена, которую заплатил покупатель, с учётом скидок продавца и покупателя;Средняя цена, которую заплатил покупатель, с учётом скидок продавца и покупателя;Сколько выручки мог бы ещё получить продавец, если бы товар был на складе все 28 дней;Считаем сколько дней из последних 28 товар был в наличии;Средняя сумма заказов в сутки (ADS) — делим сумму всех продаж за 28 дней на количество дней, когда товар был в наличии. Не вычитаем возвраты и отмены;Среднее количество заказов в сутки — делим количество всех заказов за 28 дней на количество дней, когда товар был в наличии;Модель сотрудничества с Ozon — зависит от того, с чьего склада продаётся товар (Ozon или продавца) и кто доставляет заказ;Умножаем время доставки между кластерами по всем маршрутам на количество отправленных товаров за 28 дней. Затем суммируем полученные значения и делим на общее количество товаров;Сколько места занимает товар — чем больше объём, тем выше стоимость логистики и размещения товара на складе Ozon;Какой процент с продажи товара составляют расходы на Ozon. Считаем отдельно для схем FBO и FBS;Какой процент с продажи товара составляют расходы на Ozon. Считаем отдельно для схем FBO и FBS;Сколько раз покупатели посмотрели товар в поисковой выдаче и каталоге;Сколько раз покупатели перешли в карточку товара за последние 28 дней;Отношение количества добавлений товара в корзину к количеству просмотров в каталоге и поиске;Отношение количества просмотров карточки к количеству добавлений товара в корзину после просмотра;Процент расходов на продвижение товаров от суммы всех заказов;Процент заказанных товаров, которые не отменили и не вернули;—
Кофе растворимый Monarch Original, 400 г;258846372;8060126;https://www.ozon.ru/product/258846372;Monarch;Продукты питания;Кофе растворимый;Нет;55 090 324 ₽;-39%;52 524;0 ₽;1 049 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;5,9;45,0%;58,0%;1 287 528;497 039;1,21%;13,40%;1,1%;0,0%;0001-01-01
Кофе в зернах 1 кг, 100% Арабика, Бразилия, Сул де Минас, DON CUP ESPRESSO PREMIUM BLEND свежеобжаренный зерновой кофе;1099382185;АВ-0000005;https://www.ozon.ru/product/1099382185;DON CUP;Продукты питания;Кофе в зернах;Нет;32 845 104 ₽;+6%;22 105;0 ₽;1 486 ₽;0 ₽;4 из 28;1 168 592 ₽;787;FBO;28 ч;3,1;38,0%;47,0%;1 518 718;192 824;0,52%;15,35%;4,4%;97,9%;2023-07-26
Кофе в зернах DeLonghi MILK SELECTION BLEND, 1кг;674786503;5513284931;https://www.ozon.ru/product/674786503;DeLonghi;Продукты питания;Кофе в зернах;Нет;27 359 442 ₽;+46%;15 539;0 ₽;1 761 ₽;0 ₽;17 из 28;485 726 ₽;281;FBO;47 ч;4,0;37,0%;44,0%;951 362;167 826;0,76%;11,29%;4,3%;97,3%;2022-08-16
Кофе в зернах БРАЗИЛИЯ Espresso Интенсив Арабика, Робуста 1 кг Высший сорт;1687029357;АВ-0000020;https://www.ozon.ru/product/1687029357;DON CUP;Продукты питания;Кофе в зернах;Нет;25 999 530 ₽;+27%;21 413;0 ₽;1 214 ₽;0 ₽;7 из 28;924 547 ₽;762;FBO;28 ч;2,8;38,0%;48,0%;1 097 881;238 201;0,74%;14,39%;2,7%;97,6%;2024-09-09
Кофе растворимый Monarch Original, 800 г;1040586790;4070479;https://www.ozon.ru/product/1040586790;Monarch;Продукты питания;Кофе растворимый;Нет;24 757 816 ₽;-40%;12 008;0 ₽;2 062 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;5,5;36,0%;43,0%;470 015;120 469;0,72%;13,72%;1,0%;0,0%;0001-01-01
Кофе в зёрнах Piazza del Caffee Crema Vellutata, робуста, 1 кг;147404011;1367-06, 1369-06-0, 1367-06-0, 1367-06-0;https://www.ozon.ru/product/147404011;Piazza del Caffe;Продукты питания;Кофе в зернах;Нет;18 104 916 ₽;+3%;13 548;0 ₽;1 336 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;5,4;40,0%;50,0%;1 003 720;156 910;0,86%;10,72%;8,7%;0,0%;0001-01-01
Кофе в зернах Tasty Coffee Бразилия Серрадо, 1 кг;643726547;2МЭ002ЗЕРН;https://www.ozon.ru/product/643726547;Tasty Coffee;Продукты питания;Кофе в зернах;Нет;17 109 844 ₽;-4%;7 696;0 ₽;2 223 ₽;0 ₽;25 из 28;600 435 ₽;270;FBO;49 ч;4,2;36,0%;44,0%;761 251;87 313;0,53%;10,70%;9,7%;95,7%;2022-07-15
Кофе в зернах Tasty Coffee Натти, 1 кг;715106535;03ЭС020;https://www.ozon.ru/product/715106535;Tasty Coffee;Продукты питания;Кофе в зернах;Нет;16 466 805 ₽;+15%;7 453;1 ₽;2 209 ₽;0 ₽;26 из 28;580 635 ₽;263;FBO;48 ч;7,0;38,0%;46,0%;1 209 690;111 074;0,42%;8,99%;12,2%;96,1%;2022-09-16
Кофе растворимый Нескафе Голд, 500 г;149710140;12348494;https://www.ozon.ru/product/149710140;НЕСКАФÉ;Продукты питания;Кофе растворимый;Нет;15 839 352 ₽;-55%;10 752;0 ₽;1 473 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;4,9;38,0%;46,0%;593 285;147 416;0,76%;9,28%;2,9%;0,0%;0001-01-01
