Название товара;Артикул Ozon;Артикул продавца;Ссылка на товар;Бренд;Категория 1 уровня;Категория 3 уровня;Super-товар;Заказано на сумму, ₽;Динамика суммы заказов, %;Заказано товаров;Самая низкая цена, ₽;Средняя цена покупки, ₽;Упущенные продажи, ₽;Дней без остатка, дни;Среднесуточные продажи, ₽;Среднесуточные продажи, штуки;Схема работы;Среднее время доставки;Объем товара, л;Доля затрат на Ozon, FBO, %;Доля затрат на Ozon, FBS, %;Показы в поиске и каталоге;Посещения карточки товара;В корзину из поиска и каталога, %;В корзину из карточки, %;Доля рекламных расходов, %;Доля выкупа, %;Дата создания карточки товара
—;—;—;—;—;—;—;Приносят больше выручки и чаще продаются. А ещё за их поставки можно получить бонусы и скидки. Узнайте, какие Super-товары продают на Ozon сейчас;Общая стоимость заказанных товаров, включая отмены и возвраты. Для расчёта берём цену, которую заплатил покупатель, с учётом скидок продавца и покупателя;Как изменилась суммарная стоимость заказов в сравнении с предыдущим периодом;Общее количество заказанных товаров;Самая низкая цена, которую заплатил покупатель, с учётом скидок продавца и покупателя;Средняя цена, которую заплатил покупатель, с учётом скидок продавца и покупателя;Сколько выручки мог бы ещё получить продавец, если бы товар был на складе все 28 дней;Считаем сколько дней из последних 28 товар был в наличии;Средняя сумма заказов в сутки (ADS) — делим сумму всех продаж за 28 дней на количество дней, когда товар был в наличии. Не вычитаем возвраты и отмены;Среднее количество заказов в сутки — делим количество всех заказов за 28 дней на количество дней, когда товар был в наличии;Модель сотрудничества с Ozon — зависит от того, с чьего склада продаётся товар (Ozon или продавца) и кто доставляет заказ;Умножаем время доставки между кластерами по всем маршрутам на количество отправленных товаров за 28 дней. Затем суммируем полученные значения и делим на общее количество товаров;Сколько места занимает товар — чем больше объём, тем выше стоимость логистики и размещения товара на складе Ozon;Какой процент с продажи товара составляют расходы на Ozon. Считаем отдельно для схем FBO и FBS;Какой процент с продажи товара составляют расходы на Ozon. Считаем отдельно для схем FBO и FBS;Сколько раз покупатели посмотрели товар в поисковой выдаче и каталоге;Сколько раз покупатели перешли в карточку товара за последние 28 дней;Отношение количества добавлений товара в корзину к количеству просмотров в каталоге и поиске;Отношение количества просмотров карточки к количеству добавлений товара в корзину после просмотра;Процент расходов на продвижение товаров от суммы всех заказов;Процент заказанных товаров, которые не отменили и не вернули;—
Кофе растворимый Monarch Original, 400 г;258846372;8060126;https://www.ozon.ru/product/258846372;Monarch;Продукты питания;Кофе растворимый;Нет;130 423 968 ₽;+64%;164 062;1 ₽;795 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;6,2;46,0%;61,0%;1 211 122;851 706;2,83%;17,64%;5,2%;0,0%;0001-01-01
Кофе растворимый Monarch Original, 800 г;1040586790;4070479;https://www.ozon.ru/product/1040586790;Monarch;Продукты питания;Кофе растворимый;Нет;52 756 908 ₽;+144%;31 971;1 ₽;1 650 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;6,3;39,0%;48,0%;792 934;231 148;1,10%;14,39%;5,0%;0,0%;0001-01-01
Кофе растворимый Нескафе Голд, 500 г;149710140;12348494;https://www.ozon.ru/product/149710140;НЕСКАФÉ;Продукты питания;Кофе растворимый;Нет;46 590 664 ₽;+44%;42 029;1 ₽;1 109 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;4,6;40,0%;51,0%;514 998;261 327;2,05%;14,40%;0,7%;0,0%;0001-01-01
Кофе в зёрнах Poetti Daily Mokka, арабика, робуста, 1 кг;686577164;18101;https://www.ozon.ru/product/686577164;Poetti;Продукты питания;Кофе в зернах;Нет;33 530 072 ₽;-43%;32 383;1 ₽;1 035 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;6,2;44,0%;57,0%;651 200;293 070;1,61%;12,91%;0,8%;0,0%;0001-01-01
Кофе растворимый BUSHIDO Original, 100 г;34362301;7610121710318;https://www.ozon.ru/product/34362301;BUSHIDO;Продукты питания;Кофе растворимый;Нет;32 292 118 ₽;+93%;46 470;1 ₽;695 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,8;40,0%;52,0%;933 723;366 895;1,65%;12,00%;2,6%;0,0%;0001-01-01
Кофе в зернах 1 кг, 100% Арабика, Бразилия, Сул де Минас, DON CUP ESPRESSO PREMIUM BLEND свежеобжаренный зерновой кофе;1099382185;АВ-0000005;https://www.ozon.ru/product/1099382185;DON CUP;Продукты питания;Кофе в зернах;Нет;32 083 514 ₽;+17%;22 402;114 ₽;1 432 ₽;0 ₽;3 из 28;1 137 276 ₽;795;FBO;28 ч;3,1;38,0%;48,0%;1 921 480;178 087;0,38%;15,22%;4,5%;97,1%;2023-07-26
Кофе растворимый Monarch Original, 270 г;281052098;8052852;https://www.ozon.ru/product/281052098;Monarch;Продукты питания;Кофе растворимый;Нет;27 921 026 ₽;+119%;39 618;1 ₽;705 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;2,1;42,0%;55,0%;953 186;359 447;1,98%;13,97%;9,8%;0,0%;0001-01-01
Кофе в зёрнах Piazza del Caffee Crema Vellutata, робуста, 1 кг;147404011;1367-06, 1369-06-0, 1367-06-0, 1367-06-0;https://www.ozon.ru/product/147404011;Piazza del Caffe;Продукты питания;Кофе в зернах;Нет;27 026 224 ₽;+52%;23 371;1 ₽;1 156 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;5,4;42,0%;53,0%;970 469;248 595;1,42%;11,54%;4,8%;0,0%;0001-01-01
Кофе в зёрнах Jardin Crema, арабика, робуста, 1 кг;33069284;0846-06-0, 0846-06-0;https://www.ozon.ru/product/33069284;Jardin;Продукты питания;Кофе в зернах;Нет;26 656 526 ₽;+172%;22 200;1 ₽;1 201 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;5,7;39,0%;49,0%;1 293 849;198 111;0,90%;13,34%;11,1%;0,0%;0001-01-01
Кофе растворимый Нескафе Классик, 500 г;173826820;12434406;https://www.ozon.ru/product/173826820;НЕСКАФÉ;Продукты питания;Кофе растворимый;Нет;26 406 656 ₽;-10%;28 664;1 ₽;921 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;4,8;39,0%;49,0%;417 616;137 164;1,63%;17,42%;0,7%;0,0%;0001-01-01
Кофе в зернах 1 кг, ESPRESSO PREMIUM DE JANEIRO, арабика 100%;183196970;DJ-PREMIUM-1000;https://www.ozon.ru/product/183196970;DE JANEIRO;Продукты питания;Кофе в зернах;Нет;23 275 064 ₽;+11%;14 284;128 ₽;1 629 ₽;0 ₽;6 из 28;822 994 ₽;505;FBO;28 ч;2,9;37,0%;45,0%;983 066;127 453;0,40%;13,71%;3,4%;96,6%;2020-07-29
Кофе в зёрнах Poetti Daily Arabica Standart, 1 кг;686577294;18106;https://www.ozon.ru/product/686577294;Poetti;Продукты питания;Кофе в зернах;Нет;21 579 890 ₽;+763%;17 385;1 ₽;1 241 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;6,2;40,0%;50,0%;633 714;208 721;1,34%;10,95%;1,3%;0,0%;0001-01-01
Кофе в зернах Tasty Coffee Бразилия Серрадо, 1 кг;643726547;2МЭ002ЗЕРН;https://www.ozon.ru/product/643726547;Tasty Coffee;Продукты питания;Кофе в зернах;Нет;20 537 302 ₽;+13%;9 097;1 ₽;2 258 ₽;0 ₽;25 из 28;728 722 ₽;323;FBO;43 ч;4,2;37,0%;44,0%;997 197;90 880;0,40%;9,89%;10,0%;96,0%;2022-07-15
Кофе в зернах DeLonghi MILK SELECTION BLEND, 1кг;674786503;5513284931;https://www.ozon.ru/product/674786503;DeLonghi;Продукты питания;Кофе в зернах;Нет;19 785 884 ₽;+44%;11 562;1 ₽;1 711 ₽;0 ₽;14 из 28;323 476 ₽;191;FBO;42 ч;4,3;38,0%;46,0%;948 599;128 743;0,53%;9,57%;5,3%;97,4%;2022-08-16
Кофе в зернах БРАЗИЛИЯ Espresso Интенсив Арабика, Робуста 1 кг Высший сорт;1687029357;АВ-0000020;https://www.ozon.ru/product/1687029357;DON CUP;Продукты питания;Кофе в зернах;Нет;19 291 322 ₽;+1%;16 528;95 ₽;1 167 ₽;0 ₽;5 из 28;684 935 ₽;587;FBO;28 ч;2,8;39,0%;48,0%;605 003;151 225;0,81%;14,84%;1,4%;97,9%;2024-09-09
